Programming,Mathematics,Communication,WebDevelopment,Interest,Career
High,Medium,High,High,Technology,Web Developer
High,High,Medium,High,Technology,Web Developer
Medium,Medium,High,High,Technology,Web Developer
High,Medium,Medium,Medium,Programming,Python Developer
High,High,Medium,Low,Programming,Python Developer
High,High,High,Low,Programming,Python Developer
Medium,High,High,Low,Data,Data Analyst
High,High,Medium,Low,Data,Data Analyst
Medium,High,High,Medium,Data,Data Analyst
High,High,Medium,Medium,Software,Software Developer
High,Medium,High,Medium,Software,Software Developer
High,High,High,Medium,Software,Software Developer
Medium,Medium,High,High,Technology,Web Developer
High,Medium,High,Low,Programming,Python Developer
Medium,High,Medium,Low,Data,Data Analyst
